VJAVKW_DT,VJAVKW,TTOKM
2020-11-16,202046,33701.0
2020-11-23,202047,33461.0
2020-11-30,202048,32988.0
2020-12-07,202049,29983.0
2020-12-14,202050,32731.0
2020-12-21,202051,29260.0
2020-12-28,202052,9899.0
2021-01-04,202053,5053.0
2021-01-04,202101,14458.0
2021-01-11,202102,30701.0
2021-01-18,202103,31170.0
2021-01-25,202104,33573.0
2021-02-01,202105,33517.0
2021-02-08,202106,33509.0
2021-02-15,202107,30761.0
2021-02-22,202108,35019.0
2021-03-01,202109,32214.0
2021-03-08,202110,31532.0
2021-03-15,202111,31428.0
2021-03-22,202112,32220.0
2021-03-29,202113,25830.0
2021-04-05,202114,28682.0
2021-04-12,202115,31569.0
2021-04-19,202116,31408.0
2021-04-26,202117,32528.0
2021-05-03,202118,32759.0
2021-05-10,202119,27461.0
2021-05-17,202120,30397.0
2021-05-24,202121,24944.0
2021-05-31,202122,23586.0
2021-06-07,202123,28069.0
2021-06-14,202124,28513.0
2021-06-21,202125,28302.0
2021-06-28,202126,27323.0
2021-07-05,202127,24765.0
2021-07-12,202128,26194.0
2021-07-19,202129,28186.0
2021-07-26,202130,27373.0
2021-08-02,202131,21623.0
2021-08-09,202132,20800.0
2021-08-16,202133,25182.0
2021-08-23,202134,26209.0
2021-08-30,202135,30949.0
2021-09-06,202136,32297.0
2021-09-13,202137,31696.0
2021-09-20,202138,33377.0
2021-09-27,202139,29976.0
2021-10-04,202140,28535.0
2021-10-11,202141,31966.0
2021-10-18,202142,33435.0
2021-10-25,202143,22241.0
2021-11-01,202144,25567.0
2021-11-08,202145,29789.0
2021-11-15,202146,31767.0
2021-11-22,202147,29501.0
2021-11-29,202148,31058.0
2021-12-06,202149,27855.0
2021-12-13,202150,27180.0
2021-12-20,202151,12087.0
2021-12-27,202152,4968.0
2022-01-03,202153,350.0
2022-01-03,202201,13406.0
2022-01-10,202202,29697.0
2022-01-17,202203,36591.0
2022-01-24,202204,33714.0
2022-01-31,202205,30783.0
2022-02-07,202206,35347.0
2022-02-14,202207,36406.0
2022-02-21,202208,38114.0
2022-02-28,202209,36709.0
2022-03-07,202210,36848.0
2022-03-14,202211,36655.0
2022-03-21,202212,37508.0
2022-03-28,202213,35164.0
2022-04-04,202214,30991.0
2022-04-11,202215,36987.0
2022-04-18,202216,27651.0
2022-04-25,202217,35153.0
2022-05-02,202218,34172.0
2022-05-09,202219,37268.0
2022-05-16,202220,32780.0
2022-05-23,202221,24912.0
2022-05-30,202222,32711.0
2022-06-06,202223,27822.0
2022-06-13,202224,26177.0
2022-06-20,202225,30466.0
2022-06-27,202226,31886.0
2022-07-04,202227,24287.0
2022-07-11,202228,24392.0
2022-07-18,202229,25904.0
2022-07-25,202230,24969.0
2022-08-01,202231,16890.0
2022-08-08,202232,16155.0
2022-08-15,202233,18947.0
2022-08-22,202234,25744.0
