VJAVKW_DT,VJAVKW,TTOKM
2016-07-25,201630,59163.0
2016-08-01,201631,55555.0
2016-08-08,201632,48187.0
2016-08-15,201633,49357.0
2016-08-22,201634,46629.0
2016-08-29,201635,50174.0
2016-09-05,201636,51213.0
2016-09-12,201637,53553.0
2016-09-19,201638,54922.0
2016-09-26,201639,58959.0
2016-10-03,201640,54575.0
2016-10-10,201641,62637.0
2016-10-17,201642,64586.0
2016-10-24,201643,53296.0
2016-10-31,201644,59148.0
2016-11-07,201645,58506.0
2016-11-14,201646,55449.0
2016-11-21,201647,58939.0
2016-11-28,201648,63696.0
2016-12-05,201649,60936.0
2016-12-12,201650,61228.0
2016-12-19,201651,51053.0
2016-12-26,201652,31622.0
2017-01-02,201653,7930.0
2017-01-02,201701,49991.0
2017-01-09,201702,61939.0
2017-01-16,201703,57713.0
2017-01-23,201704,68477.0
2017-01-30,201705,60993.0
2017-02-06,201706,66955.0
2017-02-13,201707,64280.0
2017-02-20,201708,65946.0
2017-02-27,201709,63428.0
2017-03-06,201710,71510.0
2017-03-13,201711,71690.0
2017-03-20,201712,73229.0
2017-03-27,201713,70378.0
2017-04-03,201714,59307.0
2017-04-10,201715,69708.0
2017-04-17,201716,64899.0
2017-04-24,201717,71406.0
2017-05-01,201718,59735.0
2017-05-08,201719,65903.0
2017-05-15,201720,59360.0
2017-05-22,201721,61889.0
2017-05-29,201722,64901.0
2017-06-05,201723,63942.0
2017-06-12,201724,60994.0
2017-06-19,201725,66593.0
2017-06-26,201726,63173.0
2017-07-03,201727,67045.0
2017-07-10,201728,63990.0
2017-07-17,201729,62639.0
2017-07-24,201730,66515.0
2017-07-31,201731,63622.0
2017-08-07,201732,56707.0
2017-08-14,201733,60782.0
2017-08-21,201734,68952.0
2017-08-28,201735,63282.0
2017-09-04,201736,57212.0
2017-09-11,201737,58261.0
2017-09-18,201738,60598.0
2017-09-25,201739,69702.0
2017-10-02,201740,65148.0
2017-10-09,201741,65694.0
2017-10-16,201742,60383.0
2017-10-23,201743,64648.0
2017-10-30,201744,60917.0
2017-11-06,201745,64610.0
2017-11-13,201746,66674.0
2017-11-20,201747,66959.0
2017-11-27,201748,70338.0
2017-12-04,201749,65260.0
2017-12-11,201750,57951.0
2017-12-18,201751,56606.0
2017-12-25,201752,29937.0
2018-01-01,201801,52325.0
2018-01-08,201802,61150.0
2018-01-15,201803,70372.0
2018-01-22,201804,75423.0
2018-01-29,201805,74052.0
2018-02-05,201806,73835.0
2018-02-12,201807,62047.0
2018-02-19,201808,69883.0
2018-02-26,201809,67105.0
2018-03-05,201810,71243.0
2018-03-12,201811,63957.0
2018-03-19,201812,70198.0
2018-03-26,201813,62079.0
2018-04-02,201814,68889.0
2018-04-09,201815,63993.0
2018-04-16,201816,68957.0
2018-04-23,201817,59118.0
2018-04-30,201818,54762.0
2018-05-07,201819,65461.0
2018-05-14,201820,56334.0
2018-05-21,201821,57158.0
2018-05-28,201822,53905.0
2018-06-04,201823,54969.0
2018-06-11,201824,56860.0
2018-06-18,201825,51575.0
2018-06-25,201826,52858.0
2018-07-02,201827,48091.0
2018-07-09,201828,52112.0
2018-07-16,201829,49333.0
2018-07-23,201830,48339.0
2018-07-30,201831,46033.0
2018-08-06,201832,45688.0
2018-08-13,201833,47633.0
2018-08-20,201834,48790.0
2018-08-27,201835,57291.0
2018-09-03,201836,51102.0
2018-09-10,201837,54669.0
2018-09-17,201838,55509.0
2018-09-24,201839,58376.0
2018-10-01,201840,54311.0
2018-10-08,201841,58647.0
2018-10-15,201842,62219.0
2018-10-22,201843,61169.0
2018-10-29,201844,51289.0
2018-11-05,201845,63979.0
2018-11-12,201846,63662.0
2018-11-19,201847,57211.0
2018-11-26,201848,62740.0
2018-12-03,201849,68587.0
2018-12-10,201850,66927.0
2018-12-17,201851,58093.0
2018-12-24,201852,45716.0
2019-01-07,201901,48274.0
2019-01-14,201902,67104.0
2019-01-21,201903,74838.0
2019-01-28,201904,67423.0
2019-02-04,201905,70642.0
2019-02-11,201906,72088.0
2019-02-18,201907,64137.0
2019-02-25,201908,74461.0
2019-03-04,201909,71135.0
2019-03-11,201910,70178.0
2019-03-18,201911,64649.0
2019-03-25,201912,63463.0
2019-04-01,201913,67924.0
2019-04-08,201914,67354.0
2019-04-15,201915,64393.0
2019-04-22,201916,58418.0
2019-04-29,201917,58538.0
2019-05-06,201918,56481.0
2019-05-13,201919,68971.0
2019-05-20,201920,65903.0
2019-05-27,201921,63238.0
2019-06-03,201922,55376.0
2019-06-10,201923,65757.0
2019-06-17,201924,58514.0
2019-06-24,201925,57832.0
2019-07-01,201926,53961.0
2019-07-08,201927,57499.0
2019-07-15,201928,60422.0
2019-07-22,201929,63846.0
2019-07-29,201930,59929.0
2019-08-05,201931,52567.0
2019-08-12,201932,45701.0
2019-08-19,201933,45122.0
2019-08-26,201934,57832.0
2019-09-02,201935,54537.0
2019-09-09,201936,57191.0
2019-09-16,201937,54994.0
2019-09-23,201938,57958.0
2019-09-30,201939,54375.0
2019-10-07,201940,53872.0
2019-10-14,201941,53488.0
2019-10-21,201942,52297.0
2019-10-28,201943,54964.0
2019-11-04,201944,48329.0
2019-11-11,201945,53246.0
2019-11-18,201946,45662.0
2019-11-25,201947,51693.0
2019-12-02,201948,54616.0
2019-12-09,201949,47883.0
2019-12-16,201950,52082.0
2019-12-23,201951,45047.0
2019-12-30,201952,19411.0
2020-01-06,202001,23010.0
2020-01-13,202002,45653.0
2020-01-20,202003,55540.0
2020-01-27,202004,58960.0
2020-02-03,202005,56032.0
2020-02-10,202006,54280.0
2020-02-17,202007,56953.0
2020-02-24,202008,54014.0
2020-03-02,202009,53200.0
2020-03-09,202010,55444.0
2020-03-16,202011,55786.0
2020-03-23,202012,56231.0
2020-03-30,202013,45695.0
2020-04-06,202014,35742.0
